,ch4_year,ch4_month,ch4_decimal_date,ch4_average,ch4_average_unc,ch4_trend,ch4_trend_unc
0,1983,7,1983.542,1625.93,2.26,1634.85,1.45
1,1983,8,1983.625,1628.08,2.88,1635.42,1.39
2,1983,9,1983.708,1638.41,2.34,1636.05,1.32
3,1983,10,1983.792,1644.8,1.5,1636.74,1.24
4,1983,11,1983.875,1642.62,0.73,1637.49,1.16
5,1983,12,1983.958,1639.53,0.89,1638.31,1.08
6,1984,1,1984.042,1638.77,1.95,1639.22,0.98
7,1984,2,1984.125,1638.87,2.11,1640.13,0.9
8,1984,3,1984.208,1640.82,1.78,1641.1,0.83
9,1984,4,1984.292,1643.96,2.06,1642.16,0.76
10,1984,5,1984.375,1643.16,1.14,1643.24,0.71
11,1984,6,1984.458,1639.72,0.82,1644.35,0.66
12,1984,7,1984.542,1637.97,1.01,1645.48,0.63
13,1984,8,1984.625,1641.7,1.47,1646.63,0.61
14,1984,9,1984.708,1650.59,1.19,1647.76,0.59
15,1984,10,1984.792,1654.59,1.45,1648.88,0.59
16,1984,11,1984.875,1653.82,0.96,1649.98,0.58
17,1984,12,1984.958,1656.19,1.06,1651.07,0.58
18,1985,1,1985.042,1655.58,0.96,1652.15,0.58
19,1985,2,1985.125,1652.25,1.36,1653.16,0.58
20,1985,3,1985.208,1654.61,1.0,1654.16,0.58
21,1985,4,1985.292,1658.18,0.83,1655.17,0.59
22,1985,5,1985.375,1655.89,1.21,1656.18,0.59
23,1985,6,1985.458,1650.04,1.22,1657.18,0.59
24,1985,7,1985.542,1646.8,1.17,1658.18,0.6
25,1985,8,1985.625,1652.26,1.06,1659.2,0.61
26,1985,9,1985.708,1662.48,0.98,1660.21,0.61
27,1985,10,1985.792,1667.5,1.16,1661.22,0.62
28,1985,11,1985.875,1666.83,1.32,1662.25,0.64
29,1985,12,1985.958,1666.03,1.17,1663.28,0.65
30,1986,1,1986.042,1666.26,1.18,1664.34,0.67
31,1986,2,1986.125,1666.93,1.72,1665.36,0.69
32,1986,3,1986.208,1669.27,1.32,1666.38,0.7
33,1986,4,1986.292,1670.8,1.37,1667.45,0.72
34,1986,5,1986.375,1668.45,0.96,1668.52,0.75
35,1986,6,1986.458,1664.76,1.14,1669.6,0.77
36,1986,7,1986.542,1662.33,1.13,1670.68,0.78
37,1986,8,1986.625,1664.39,1.53,1671.78,0.8
38,1986,9,1986.708,1672.57,1.36,1672.87,0.81
39,1986,10,1986.792,1678.67,1.61,1673.96,0.81
40,1986,11,1986.875,1679.0,1.88,1675.05,0.8
41,1986,12,1986.958,1679.1,1.15,1676.14,0.79
42,1987,1,1987.042,1679.37,1.16,1677.24,0.76
43,1987,2,1987.125,1679.05,1.06,1678.28,0.73
44,1987,3,1987.208,1680.06,0.87,1679.31,0.7
45,1987,4,1987.292,1681.36,0.82,1680.35,0.66
46,1987,5,1987.375,1681.85,1.08,1681.37,0.62
47,1987,6,1987.458,1679.98,1.11,1682.37,0.57
48,1987,7,1987.542,1675.96,0.83,1683.34,0.53
49,1987,8,1987.625,1677.17,0.82,1684.29,0.49
50,1987,9,1987.708,1685.58,0.91,1685.2,0.46
51,1987,10,1987.792,1691.57,1.01,1686.08,0.44
52,1987,11,1987.875,1691.18,0.85,1686.93,0.43
53,1987,12,1987.958,1690.51,0.84,1687.77,0.43
54,1988,1,1988.042,1692.18,0.93,1688.62,0.46
55,1988,2,1988.125,1692.8,0.89,1689.41,0.48
56,1988,3,1988.208,1691.47,1.06,1690.2,0.51
57,1988,4,1988.292,1690.1,1.06,1691.03,0.54
58,1988,5,1988.375,1689.13,0.98,1691.87,0.58
59,1988,6,1988.458,1687.19,1.22,1692.73,0.61
60,1988,7,1988.542,1686.01,0.95,1693.61,0.63
61,1988,8,1988.625,1689.43,1.11,1694.53,0.65
62,1988,9,1988.708,1696.14,1.2,1695.46,0.66
63,1988,10,1988.792,1701.2,1.26,1696.42,0.66
64,1988,11,1988.875,1702.98,1.34,1697.39,0.66
65,1988,12,1988.958,1702.04,1.14,1698.39,0.65
66,1989,1,1989.042,1700.56,1.0,1699.41,0.64
67,1989,2,1989.125,1701.08,1.17,1700.39,0.63
68,1989,3,1989.208,1702.47,1.26,1701.36,0.62
69,1989,4,1989.292,1703.58,1.03,1702.37,0.6
70,1989,5,1989.375,1703.38,0.51,1703.36,0.59
71,1989,6,1989.458,1700.2,0.95,1704.33,0.57
72,1989,7,1989.542,1698.2,0.98,1705.28,0.56
73,1989,8,1989.625,1702.0,1.02,1706.22,0.55
74,1989,9,1989.708,1707.17,0.94,1707.12,0.55
75,1989,10,1989.792,1710.52,0.9,1707.98,0.55
76,1989,11,1989.875,1713.14,0.89,1708.81,0.56
77,1989,12,1989.958,1713.21,0.93,1709.61,0.57
78,1990,1,1990.042,1712.1,1.11,1710.39,0.59
79,1990,2,1990.125,1713.52,1.2,1711.09,0.61
80,1990,3,1990.208,1714.39,1.09,1711.77,0.63
81,1990,4,1990.292,1712.5,1.09,1712.45,0.65
82,1990,5,1990.375,1710.58,0.98,1713.12,0.66
83,1990,6,1990.458,1708.32,0.82,1713.77,0.68
84,1990,7,1990.542,1706.4,0.78,1714.43,0.69
85,1990,8,1990.625,1710.12,1.2,1715.11,0.7
86,1990,9,1990.708,1717.55,1.19,1715.81,0.7
87,1990,10,1990.792,1722.06,1.01,1716.55,0.7
88,1990,11,1990.875,1723.54,0.96,1717.34,0.7
89,1990,12,1990.958,1723.3,1.25,1718.2,0.7
90,1991,1,1991.042,1721.5,1.27,1719.15,0.7
91,1991,2,1991.125,1721.16,1.22,1720.13,0.7
92,1991,3,1991.208,1722.06,0.98,1721.18,0.7
93,1991,4,1991.292,1722.48,1.06,1722.34,0.7
94,1991,5,1991.375,1722.18,1.11,1723.57,0.7
95,1991,6,1991.458,1718.94,1.11,1724.85,0.7
96,1991,7,1991.542,1715.99,0.97,1726.15,0.7
97,1991,8,1991.625,1719.21,1.08,1727.49,0.7
98,1991,9,1991.708,1726.17,1.6,1728.77,0.7
99,1991,10,1991.792,1732.74,0.99,1730.01,0.69
100,1991,11,1991.875,1737.39,1.04,1731.17,0.68
101,1991,12,1991.958,1739.51,1.14,1732.22,0.67
102,1992,1,1992.042,1738.91,1.11,1733.17,0.65
103,1992,2,1992.125,1737.42,1.07,1733.93,0.63
104,1992,3,1992.208,1736.93,0.84,1734.54,0.61
105,1992,4,1992.292,1736.63,0.59,1735.02,0.59
106,1992,5,1992.375,1734.95,0.82,1735.35,0.58
107,1992,6,1992.458,1731.54,1.05,1735.55,0.56
108,1992,7,1992.542,1728.79,1.04,1735.63,0.55
109,1992,8,1992.625,1730.32,0.83,1735.61,0.54
110,1992,9,1992.708,1734.58,0.64,1735.53,0.53
111,1992,10,1992.792,1737.66,0.88,1735.42,0.52
112,1992,11,1992.875,1739.25,1.16,1735.29,0.51
113,1992,12,1992.958,1738.55,1.03,1735.19,0.51
114,1993,1,1993.042,1735.78,0.99,1735.12,0.49
115,1993,2,1993.125,1734.45,1.02,1735.11,0.48
116,1993,3,1993.208,1735.51,0.93,1735.17,0.47
117,1993,4,1993.292,1736.66,0.8,1735.31,0.47
118,1993,5,1993.375,1734.99,0.76,1735.53,0.47
119,1993,6,1993.458,1730.86,0.85,1735.82,0.48
120,1993,7,1993.542,1728.06,1.02,1736.18,0.49
121,1993,8,1993.625,1731.24,0.94,1736.61,0.51
122,1993,9,1993.708,1738.49,0.97,1737.09,0.54
123,1993,10,1993.792,1743.4,1.17,1737.6,0.57
124,1993,11,1993.875,1745.26,0.88,1738.15,0.59
125,1993,12,1993.958,1744.29,1.01,1738.71,0.61
126,1994,1,1994.042,1741.41,0.94,1739.3,0.62
127,1994,2,1994.125,1740.9,1.11,1739.87,0.63
128,1994,3,1994.208,1741.94,1.01,1740.44,0.62
129,1994,4,1994.292,1741.93,0.77,1741.04,0.62
130,1994,5,1994.375,1740.65,1.06,1741.65,0.6
131,1994,6,1994.458,1736.9,1.21,1742.26,0.59
132,1994,7,1994.542,1732.42,1.14,1742.88,0.57
133,1994,8,1994.625,1734.11,1.12,1743.51,0.55
134,1994,9,1994.708,1742.93,0.83,1744.13,0.53
135,1994,10,1994.792,1749.83,0.78,1744.75,0.52
136,1994,11,1994.875,1751.29,0.89,1745.36,0.52
137,1994,12,1994.958,1751.58,0.89,1745.95,0.51
138,1995,1,1995.042,1751.11,0.93,1746.53,0.51
139,1995,2,1995.125,1749.52,1.0,1747.04,0.51
140,1995,3,1995.208,1748.99,0.69,1747.52,0.51
141,1995,4,1995.292,1749.42,0.82,1747.97,0.51
142,1995,5,1995.375,1747.66,1.06,1748.37,0.5
143,1995,6,1995.458,1742.82,0.94,1748.72,0.49
144,1995,7,1995.542,1740.16,0.8,1749.02,0.48
145,1995,8,1995.625,1743.6,1.04,1749.28,0.47
146,1995,9,1995.708,1749.76,1.12,1749.49,0.46
147,1995,10,1995.792,1754.34,0.8,1749.68,0.47
148,1995,11,1995.875,1755.53,0.94,1749.85,0.48
149,1995,12,1995.958,1753.84,0.96,1750.0,0.51
150,1996,1,1996.042,1752.2,1.06,1750.16,0.54
151,1996,2,1996.125,1752.75,1.03,1750.31,0.58
152,1996,3,1996.208,1752.23,0.9,1750.47,0.62
153,1996,4,1996.292,1749.58,0.99,1750.65,0.65
154,1996,5,1996.375,1748.3,1.06,1750.85,0.69
155,1996,6,1996.458,1746.02,1.05,1751.05,0.71
156,1996,7,1996.542,1742.04,1.07,1751.27,0.73
157,1996,8,1996.625,1744.27,1.31,1751.5,0.73
158,1996,9,1996.708,1752.57,1.3,1751.73,0.73
159,1996,10,1996.792,1758.86,0.96,1751.96,0.71
160,1996,11,1996.875,1760.06,0.96,1752.19,0.68
161,1996,12,1996.958,1756.88,0.89,1752.42,0.65
162,1997,1,1997.042,1753.31,0.91,1752.66,0.61
163,1997,2,1997.125,1753.83,1.16,1752.89,0.57
164,1997,3,1997.208,1755.64,0.86,1753.15,0.53
165,1997,4,1997.292,1755.49,0.96,1753.44,0.48
166,1997,5,1997.375,1753.83,0.77,1753.78,0.44
167,1997,6,1997.458,1750.12,0.96,1754.18,0.41
168,1997,7,1997.542,1746.09,0.95,1754.65,0.39
169,1997,8,1997.625,1747.75,0.95,1755.21,0.39
170,1997,9,1997.708,1754.88,0.99,1755.86,0.39
171,1997,10,1997.792,1760.22,0.77,1756.6,0.41
172,1997,11,1997.875,1761.71,0.96,1757.45,0.43
173,1997,12,1997.958,1761.87,0.76,1758.38,0.45
174,1998,1,1998.042,1761.43,0.75,1759.42,0.48
175,1998,2,1998.125,1761.46,1.14,1760.48,0.5
176,1998,3,1998.208,1762.94,1.31,1761.59,0.52
177,1998,4,1998.292,1764.7,0.93,1762.77,0.55
178,1998,5,1998.375,1764.25,0.86,1763.96,0.57
179,1998,6,1998.458,1760.32,0.79,1765.13,0.59
180,1998,7,1998.542,1756.15,1.18,1766.26,0.62
181,1998,8,1998.625,1760.2,1.07,1767.35,0.64
182,1998,9,1998.708,1770.65,1.27,1768.34,0.66
183,1998,10,1998.792,1776.23,1.2,1769.24,0.68
184,1998,11,1998.875,1775.5,0.87,1770.04,0.7
185,1998,12,1998.958,1774.03,0.82,1770.73,0.71
186,1999,1,1999.042,1773.81,0.97,1771.32,0.71
187,1999,2,1999.125,1773.94,1.44,1771.78,0.71
188,1999,3,1999.208,1774.6,1.12,1772.16,0.71
189,1999,4,1999.292,1774.98,0.82,1772.46,0.71
190,1999,5,1999.375,1772.69,0.94,1772.7,0.7
191,1999,6,1999.458,1767.34,0.92,1772.88,0.69
192,1999,7,1999.542,1762.96,0.9,1773.01,0.69
193,1999,8,1999.625,1764.66,1.03,1773.11,0.69
194,1999,9,1999.708,1771.01,0.95,1773.19,0.7
195,1999,10,1999.792,1776.62,0.94,1773.24,0.71
196,1999,11,1999.875,1778.59,0.86,1773.28,0.73
197,1999,12,1999.958,1777.23,0.85,1773.31,0.75
198,2000,1,2000.042,1775.49,1.11,1773.32,0.77
199,2000,2,2000.125,1775.46,1.38,1773.32,0.79
200,2000,3,2000.208,1776.48,1.39,1773.3,0.8
201,2000,4,2000.292,1777.2,1.32,1773.25,0.81
202,2000,5,2000.375,1774.58,1.28,1773.18,0.81
203,2000,6,2000.458,1768.13,1.22,1773.09,0.81
204,2000,7,2000.542,1763.47,0.89,1772.96,0.8
205,2000,8,2000.625,1765.46,1.07,1772.81,0.78
206,2000,9,2000.708,1772.03,1.11,1772.63,0.77
207,2000,10,2000.792,1777.1,0.85,1772.44,0.74
208,2000,11,2000.875,1777.74,0.99,1772.23,0.72
209,2000,12,2000.958,1775.3,1.14,1772.03,0.7
210,2001,1,2001.042,1772.86,0.93,1771.82,0.68
211,2001,2,2001.125,1772.53,0.94,1771.63,0.67
212,2001,3,2001.208,1773.66,0.94,1771.46,0.65
213,2001,4,2001.292,1773.87,0.69,1771.31,0.64
214,2001,5,2001.375,1770.76,0.83,1771.19,0.63
215,2001,6,2001.458,1765.84,0.98,1771.1,0.61
216,2001,7,2001.542,1762.78,1.03,1771.04,0.6
217,2001,8,2001.625,1764.32,0.98,1771.02,0.59
218,2001,9,2001.708,1770.35,0.87,1771.02,0.57
219,2001,10,2001.792,1775.49,0.75,1771.06,0.56
220,2001,11,2001.875,1776.59,0.87,1771.11,0.54
221,2001,12,2001.958,1775.91,1.18,1771.19,0.52
222,2002,1,2002.042,1774.09,1.29,1771.3,0.51
223,2002,2,2002.125,1772.84,1.04,1771.41,0.51
224,2002,3,2002.208,1773.4,0.64,1771.55,0.51
225,2002,4,2002.292,1772.75,0.69,1771.71,0.52
226,2002,5,2002.375,1770.31,0.7,1771.89,0.53
227,2002,6,2002.458,1766.9,0.82,1772.1,0.55
228,2002,7,2002.542,1764.22,0.91,1772.35,0.57
229,2002,8,2002.625,1766.87,1.01,1772.64,0.59
230,2002,9,2002.708,1773.65,0.97,1772.96,0.61
231,2002,10,2002.792,1778.26,1.27,1773.34,0.61
232,2002,11,2002.875,1779.53,1.17,1773.76,0.61
233,2002,12,2002.958,1779.64,0.85,1774.23,0.6
234,2003,1,2003.042,1777.52,1.03,1774.74,0.58
235,2003,2,2003.125,1774.84,1.01,1775.27,0.56
236,2003,3,2003.208,1774.85,0.91,1775.82,0.54
237,2003,4,2003.292,1775.8,1.48,1776.39,0.52
238,2003,5,2003.375,1774.46,1.28,1776.97,0.5
239,2003,6,2003.458,1771.68,1.13,1777.51,0.49
240,2003,7,2003.542,1770.71,1.68,1778.02,0.48
