,ch4_year,ch4_month,ch4_decimal_date,ch4_average,ch4_average_unc,ch4_trend,ch4_trend_unc
241,2003,8,2003.625,1774.31,1.46,1778.47,0.48
242,2003,9,2003.708,1780.54,0.93,1778.84,0.48
243,2003,10,2003.792,1784.69,0.8,1779.11,0.49
244,2003,11,2003.875,1785.3,0.99,1779.28,0.49
245,2003,12,2003.958,1783.55,0.97,1779.33,0.5
246,2004,1,2004.042,1780.85,0.93,1779.26,0.5
247,2004,2,2004.125,1779.98,0.89,1779.08,0.5
248,2004,3,2004.208,1780.96,0.8,1778.81,0.5
249,2004,4,2004.292,1780.71,0.87,1778.43,0.5
250,2004,5,2004.375,1777.58,1.04,1777.98,0.5
251,2004,6,2004.458,1772.29,1.11,1777.47,0.51
252,2004,7,2004.542,1768.04,0.83,1776.94,0.52
253,2004,8,2004.625,1769.8,0.92,1776.39,0.53
254,2004,9,2004.708,1775.49,1.02,1775.87,0.54
255,2004,10,2004.792,1779.69,0.83,1775.39,0.55
256,2004,11,2004.875,1780.49,0.99,1774.97,0.56
257,2004,12,2004.958,1778.36,0.94,1774.62,0.56
258,2005,1,2005.042,1776.33,1.12,1774.35,0.57
259,2005,2,2005.125,1775.83,0.94,1774.18,0.58
260,2005,3,2005.208,1775.45,1.01,1774.08,0.59
261,2005,4,2005.292,1774.58,0.9,1774.06,0.61
262,2005,5,2005.375,1772.25,0.76,1774.1,0.62
263,2005,6,2005.458,1768.53,1.04,1774.18,0.64
264,2005,7,2005.542,1766.25,0.9,1774.3,0.65
265,2005,8,2005.625,1768.04,1.06,1774.43,0.66
266,2005,9,2005.708,1773.07,1.22,1774.55,0.67
267,2005,10,2005.792,1778.48,1.27,1774.65,0.66
268,2005,11,2005.875,1781.25,0.94,1774.73,0.65
269,2005,12,2005.958,1780.26,1.32,1774.77,0.64
270,2006,1,2006.042,1779.51,0.98,1774.78,0.62
271,2006,2,2006.125,1779.48,1.01,1774.76,0.6
272,2006,3,2006.208,1777.39,0.8,1774.74,0.58
273,2006,4,2006.292,1776.11,0.62,1774.71,0.57
274,2006,5,2006.375,1774.92,1.03,1774.7,0.55
275,2006,6,2006.458,1769.23,1.39,1774.72,0.55
276,2006,7,2006.542,1764.17,1.25,1774.8,0.55
277,2006,8,2006.625,1767.25,1.26,1774.95,0.55
278,2006,9,2006.708,1774.57,1.24,1775.18,0.56
279,2006,10,2006.792,1778.24,0.83,1775.5,0.56
280,2006,11,2006.875,1779.06,0.81,1775.91,0.57
281,2006,12,2006.958,1779.91,0.85,1776.41,0.57
282,2007,1,2007.042,1779.19,1.03,1777.0,0.58
283,2007,2,2007.125,1778.61,1.08,1777.62,0.58
284,2007,3,2007.208,1780.24,0.9,1778.29,0.59
285,2007,4,2007.292,1781.11,0.96,1779.02,0.6
286,2007,5,2007.375,1779.49,1.27,1779.75,0.61
287,2007,6,2007.458,1775.61,1.11,1780.49,0.62
288,2007,7,2007.542,1772.59,1.11,1781.21,0.64
289,2007,8,2007.625,1777.21,1.42,1781.9,0.65
290,2007,9,2007.708,1785.86,1.43,1782.55,0.66
291,2007,10,2007.792,1789.85,1.06,1783.17,0.68
292,2007,11,2007.875,1789.55,1.02,1783.74,0.69
293,2007,12,2007.958,1788.17,1.27,1784.28,0.71
294,2008,1,2008.042,1786.66,1.39,1784.81,0.72
295,2008,2,2008.125,1785.82,1.22,1785.3,0.73
296,2008,3,2008.208,1786.16,1.24,1785.78,0.74
297,2008,4,2008.292,1786.88,1.01,1786.29,0.74
298,2008,5,2008.375,1785.21,0.96,1786.8,0.74
299,2008,6,2008.458,1780.46,0.88,1787.33,0.73
300,2008,7,2008.542,1777.64,0.91,1787.88,0.72
301,2008,8,2008.625,1781.07,1.06,1788.46,0.7
302,2008,9,2008.708,1787.65,1.06,1789.04,0.68
303,2008,10,2008.792,1793.67,0.9,1789.62,0.66
304,2008,11,2008.875,1797.33,1.49,1790.2,0.64
305,2008,12,2008.958,1796.58,1.47,1790.77,0.62
306,2009,1,2009.042,1795.05,1.04,1791.33,0.61
307,2009,2,2009.125,1795.61,1.2,1791.84,0.6
308,2009,3,2009.208,1795.97,1.13,1792.31,0.61
309,2009,4,2009.292,1795.54,0.83,1792.77,0.62
310,2009,5,2009.375,1792.36,0.74,1793.19,0.64
311,2009,6,2009.458,1786.9,0.79,1793.57,0.66
312,2009,7,2009.542,1784.96,1.05,1793.93,0.68
313,2009,8,2009.625,1788.84,0.97,1794.27,0.69
314,2009,9,2009.708,1794.79,1.23,1794.6,0.7
315,2009,10,2009.792,1798.03,1.28,1794.91,0.71
316,2009,11,2009.875,1797.92,0.76,1795.24,0.71
317,2009,12,2009.958,1796.67,1.05,1795.57,0.71
318,2010,1,2010.042,1797.1,1.34,1795.92,0.7
319,2010,2,2010.125,1798.79,1.2,1796.28,0.69
320,2010,3,2010.208,1799.46,1.09,1796.66,0.68
321,2010,4,2010.292,1799.58,0.98,1797.07,0.68
322,2010,5,2010.375,1797.64,1.24,1797.5,0.68
323,2010,6,2010.458,1792.46,1.3,1797.95,0.68
324,2010,7,2010.542,1789.43,0.98,1798.41,0.68
325,2010,8,2010.625,1794.11,1.18,1798.88,0.68
326,2010,9,2010.708,1801.86,1.25,1799.35,0.69
327,2010,10,2010.792,1806.59,1.08,1799.81,0.68
328,2010,11,2010.875,1807.07,1.03,1800.27,0.68
329,2010,12,2010.958,1803.58,1.15,1800.73,0.68
330,2011,1,2011.042,1800.44,1.19,1801.17,0.67
331,2011,2,2011.125,1800.2,0.95,1801.59,0.66
332,2011,3,2011.208,1800.97,0.68,1802.0,0.65
333,2011,4,2011.292,1802.88,0.8,1802.41,0.65
334,2011,5,2011.375,1803.33,0.88,1802.82,0.65
335,2011,6,2011.458,1799.15,0.81,1803.22,0.65
336,2011,7,2011.542,1796.2,1.04,1803.62,0.65
337,2011,8,2011.625,1799.06,1.0,1804.03,0.66
338,2011,9,2011.708,1804.05,1.53,1804.43,0.67
339,2011,10,2011.792,1809.59,1.57,1804.84,0.67
340,2011,11,2011.875,1812.42,1.22,1805.25,0.67
341,2011,12,2011.958,1810.03,1.07,1805.67,0.67
342,2012,1,2012.042,1807.35,1.06,1806.11,0.67
343,2012,2,2012.125,1808.38,1.29,1806.53,0.67
344,2012,3,2012.208,1810.05,0.84,1806.95,0.67
345,2012,4,2012.292,1808.48,0.63,1807.4,0.67
346,2012,5,2012.375,1804.78,1.21,1807.85,0.67
347,2012,6,2012.458,1801.0,1.27,1808.29,0.67
348,2012,7,2012.542,1799.38,1.21,1808.72,0.67
349,2012,8,2012.625,1803.31,0.97,1809.16,0.67
350,2012,9,2012.708,1810.14,1.08,1809.57,0.66
351,2012,10,2012.792,1814.84,0.98,1809.96,0.66
352,2012,11,2012.875,1815.98,1.23,1810.34,0.65
353,2012,12,2012.958,1814.57,0.96,1810.7,0.64
354,2013,1,2013.042,1814.04,0.99,1811.05,0.64
355,2013,2,2013.125,1814.16,1.44,1811.37,0.63
356,2013,3,2013.208,1813.25,1.07,1811.69,0.63
357,2013,4,2013.292,1812.82,0.66,1812.02,0.63
358,2013,5,2013.375,1811.95,0.95,1812.36,0.64
359,2013,6,2013.458,1808.6,1.31,1812.72,0.64
360,2013,7,2013.542,1805.98,1.6,1813.13,0.63
361,2013,8,2013.625,1808.55,1.1,1813.59,0.63
362,2013,9,2013.708,1814.24,0.9,1814.1,0.63
363,2013,10,2013.792,1818.51,0.74,1814.69,0.62
364,2013,11,2013.875,1820.37,0.75,1815.35,0.61
365,2013,12,2013.958,1819.33,0.96,1816.1,0.6
366,2014,1,2014.042,1816.8,1.04,1816.94,0.6
367,2014,2,2014.125,1816.34,1.36,1817.82,0.59
368,2014,3,2014.208,1818.09,1.32,1818.76,0.58
369,2014,4,2014.292,1820.87,0.75,1819.8,0.58
370,2014,5,2014.375,1821.89,0.82,1820.89,0.58
371,2014,6,2014.458,1818.29,0.81,1822.02,0.57
372,2014,7,2014.542,1815.52,1.1,1823.17,0.57
373,2014,8,2014.625,1819.71,1.17,1824.34,0.56
374,2014,9,2014.708,1826.79,1.07,1825.48,0.56
375,2014,10,2014.792,1831.18,0.59,1826.6,0.55
376,2014,11,2014.875,1833.04,0.69,1827.69,0.54
377,2014,12,2014.958,1833.48,1.08,1828.74,0.54
378,2015,1,2015.042,1833.05,1.15,1829.77,0.53
379,2015,2,2015.125,1833.0,0.99,1830.71,0.52
380,2015,3,2015.208,1833.2,0.74,1831.61,0.52
381,2015,4,2015.292,1833.15,0.97,1832.51,0.52
382,2015,5,2015.375,1831.68,1.04,1833.37,0.52
383,2015,6,2015.458,1827.23,0.84,1834.21,0.53
384,2015,7,2015.542,1824.7,0.98,1835.03,0.54
385,2015,8,2015.625,1829.18,1.07,1835.84,0.55
386,2015,9,2015.708,1836.23,0.95,1836.63,0.57
387,2015,10,2015.792,1841.41,0.81,1837.4,0.59
388,2015,11,2015.875,1844.7,1.04,1838.17,0.61
389,2015,12,2015.958,1844.87,1.25,1838.92,0.63
390,2016,1,2016.042,1842.4,0.91,1839.67,0.66
391,2016,2,2016.125,1841.65,1.18,1840.36,0.68
392,2016,3,2016.208,1842.99,0.92,1841.03,0.69
393,2016,4,2016.292,1843.74,0.83,1841.7,0.7
394,2016,5,2016.375,1842.14,1.08,1842.33,0.71
395,2016,6,2016.458,1837.82,1.2,1842.94,0.71
396,2016,7,2016.542,1834.16,1.17,1843.52,0.71
397,2016,8,2016.625,1836.71,1.28,1844.08,0.7
398,2016,9,2016.708,1844.17,1.34,1844.6,0.68
399,2016,10,2016.792,1849.87,1.17,1845.11,0.66
400,2016,11,2016.875,1851.46,1.28,1845.6,0.64
401,2016,12,2016.958,1851.04,1.09,1846.08,0.62
402,2017,1,2017.042,1849.67,0.99,1846.56,0.6
403,2017,2,2017.125,1848.41,1.23,1847.03,0.59
404,2017,3,2017.208,1848.18,1.38,1847.51,0.58
405,2017,4,2017.292,1848.53,1.16,1848.01,0.58
406,2017,5,2017.375,1847.15,0.89,1848.54,0.59
407,2017,6,2017.458,1842.93,0.91,1849.08,0.61
408,2017,7,2017.542,1840.39,1.4,1849.65,0.62
409,2017,8,2017.625,1844.63,1.3,1850.25,0.64
410,2017,9,2017.708,1852.69,1.0,1850.87,0.66
411,2017,10,2017.792,1857.98,1.07,1851.51,0.68
412,2017,11,2017.875,1858.54,0.95,1852.17,0.7
413,2017,12,2017.958,1856.49,1.06,1852.85,0.71
414,2018,1,2018.042,1854.42,1.1,1853.57,0.73
415,2018,2,2018.125,1854.99,0.98,1854.26,0.74
416,2018,3,2018.208,1856.87,1.06,1854.97,0.75
417,2018,4,2018.292,1856.68,1.13,1855.71,0.77
418,2018,5,2018.375,1854.82,1.49,1856.45,0.78
419,2018,6,2018.458,1852.0,1.51,1857.2,0.79
420,2018,7,2018.542,1849.09,1.67,1857.95,0.8
421,2018,8,2018.625,1851.94,1.79,1858.7,0.81
422,2018,9,2018.708,1860.46,0.95,1859.44,0.81
423,2018,10,2018.792,1865.76,1.0,1860.17,0.81
424,2018,11,2018.875,1866.29,1.08,1860.89,0.8
425,2018,12,2018.958,1866.01,1.01,1861.6,0.79
426,2019,1,2019.042,1864.97,1.02,1862.33,0.77
427,2019,2,2019.125,1865.04,0.74,1863.01,0.74
428,2019,3,2019.208,1866.31,0.8,1863.69,0.72
429,2019,4,2019.292,1865.3,0.69,1864.41,0.69
430,2019,5,2019.375,1861.98,1.14,1865.13,0.65
431,2019,6,2019.458,1858.78,1.28,1865.88,0.61
432,2019,7,2019.542,1858.23,1.46,1866.65,0.58
433,2019,8,2019.625,1862.92,1.48,1867.47,0.55
434,2019,9,2019.708,1870.77,1.1,1868.31,0.53
435,2019,10,2019.792,1875.39,1.11,1869.2,0.51
436,2019,11,2019.875,1875.58,1.14,1870.13,0.51
437,2019,12,2019.958,1874.66,0.85,1871.12,0.51
438,2020,1,2020.042,1873.12,1.12,1872.18,0.52
439,2020,2,2020.125,1872.76,1.02,1873.22,0.53
440,2020,3,2020.208,1874.72,0.75,1874.31,0.54
441,2020,4,2020.292,1875.87,1.13,1875.5,0.55
442,2020,5,2020.375,1874.32,1.08,1876.7,0.55
443,2020,6,2020.458,1871.86,1.05,1877.95,0.56
444,2020,7,2020.542,1871.49,1.22,1879.23,0.55
445,2020,8,2020.625,1876.55,1.19,1880.55,0.55
446,2020,9,2020.708,1884.66,0.95,1881.89,0.54
447,2020,10,2020.792,1890.1,0.94,1883.25,0.53
448,2020,11,2020.875,1891.94,0.72,1884.64,0.52
449,2020,12,2020.958,1891.77,0.81,1886.05,0.51
450,2021,1,2021.042,1889.47,1.32,1887.51,0.5
451,2021,2,2021.125,1887.54,0.93,1888.92,0.49
452,2021,3,2021.208,1888.7,0.77,1890.36,0.48
453,2021,4,2021.292,1891.23,0.58,1891.86,0.46
454,2021,5,2021.375,1891.62,0.72,1893.38,0.45
455,2021,6,2021.458,1888.45,0.74,1894.92,0.45
456,2021,7,2021.542,1886.37,0.85,1896.46,0.45
457,2021,8,2021.625,1892.63,1.35,1898.02,0.46
458,2021,9,2021.708,1902.62,1.36,1899.55,0.48
459,2021,10,2021.792,1908.0,0.83,1901.06,0.51
460,2021,11,2021.875,1909.53,1.1,1902.54,0.55
461,2021,12,2021.958,1908.76,0.79,1903.98,0.59
462,2022,1,2022.042,1907.47,1.19,1905.4,0.63
463,2022,2,2022.125,1907.68,1.6,1906.7,0.66
464,2022,3,2022.208,1908.86,1.65,1907.95,0.69
465,2022,4,2022.292,1909.49,0.99,1909.18,0.72
466,2022,5,2022.375,1907.83,1.15,1910.36,0.75
467,2022,6,2022.458,1905.18,1.4,1911.48,0.78
468,2022,7,2022.542,1904.46,1.66,1912.56,0.81
469,2022,8,2022.625,1908.78,1.76,1913.62,0.85
470,2022,9,2022.708,1915.46,1.39,1914.64,0.88
471,2022,10,2022.792,1920.11,1.4,1915.64,0.91
472,2022,11,2022.875,1923.75,1.08,1916.64,0.94
473,2022,12,2022.958,1924.54,1.07,1917.65,0.96
474,2023,1,2023.042,1922.06,0.99,1918.69,0.98
475,2023,2,2023.125,1920.29,-9.99,1919.7,-9.99
476,2023,3,2023.208,1919.87,-9.99,1920.73,-9.99
477,2023,4,2023.292,1920.76,-9.99,1921.81,-9.99
478,2023,5,2023.375,1920.15,-9.99,1922.91,-9.99
479,2023,6,2023.458,1916.27,-9.99,1924.02,-9.99
480,2023,7,2023.542,1915.07,-9.99,1925.14,-9.99
481,2023,8,2023.625,1919.41,-9.99,1926.26,-9.99
